Region;Country;Latitude;Longitude;Date;Confirmed;Deaths
;Kenya;-0.0236;37.9062;2/7/20;0;0
;Oman;21;57;3/4/20;15;0
;Togo;8.6195;0.8248;3/12/20;1;0
;Burundi;-3.3731;29.9189;4/3/20;3;0
;Senegal;14.4974;-14.4524;1/23/20;0;0
;Nigeria;9.082;8.6753;1/30/20;0;0
;Oman;21;57;3/13/20;19;0
;San Marino;43.9424;12.4578;3/11/20;62;2
;Vietnam;16;108;2/5/20;8;0
;Morocco;31.7917;-7.0926;2/28/20;0;0
;Ukraine;48.3794;31.1656;2/13/20;0;0
;Chile;-35.6751;-71.543;2/29/20;0;0
;Fiji;-17.7134;178.065;2/21/20;0;0
;Liechtenstein;47.14;9.55;1/28/20;0;0
;Saint Kitts and Nevis;17.357822;-62.782998;3/22/20;0;0
;Nepal;28.1667;84.25;2/4/20;1;0
;Slovakia;48.669;19.699;2/3/20;0;0
;Indonesia;-0.7893;113.9213;3/25/20;790;58
;Burma;21.9162;95.956;3/20/20;0;0
;Argentina;-38.4161;-63.6167;3/1/20;0;0
;Panama;8.538;-80.7821;3/1/20;0;0
;Netherlands;52.1326;5.2913;2/10/20;0;0
;Nigeria;9.082;8.6753;1/29/20;0;0
Yukon;Canada;64.2823;-135;2/6/20;0;0
;Brazil;-14.235;-51.9253;3/28/20;3904;111
;Kenya;-0.0236;37.9062;2/18/20;0;0
;Chile;-35.6751;-71.543;2/17/20;0;0
;Ukraine;48.3794;31.1656;2/25/20;0;0
;Nicaragua;12.8654;-85.2072;3/6/20;0;0
;Azerbaijan;40.1431;47.5769;2/20/20;0;0
;Bahamas;25.0343;-77.3963;2/21/20;0;0
;MS Zaandam;0;0;4/2/20;9;2
;South Sudan;6.877;31.307;4/5/20;1;0
;Burma;21.9162;95.956;3/19/20;0;0
;Cote d'Ivoire;7.54;-5.5471;3/25/20;80;0
;Armenia;40.0691;45.0382;1/25/20;0;0
;Morocco;31.7917;-7.0926;2/16/20;0;0
;New Zealand;-40.9006;174.886;3/18/20;20;0
;Czechia;49.8175;15.473;2/25/20;0;0
;Russia;60;90;2/29/20;2;0
;Burkina Faso;12.2383;-1.5616;2/11/20;0;0
;Saint Kitts and Nevis;17.357822;-62.782998;3/10/20;0;0
;Eritrea;15.1794;39.7823;3/4/20;0;0
;Uruguay;-32.5228;-55.7658;3/10/20;0;0
;Suriname;3.9193;-56.0278;1/28/20;0;0
;Spain;40;-4;3/12/20;2277;55
;Iraq;33;44;3/14/20;110;10
;West Bank and Gaza;31.9522;35.2332;4/5/20;237;1
;Austria;47.5162;14.5501;3/31/20;10180;128
;Saudi Arabia;24;45;2/23/20;0;0
;Sudan;12.8628;30.2176;2/8/20;0;0
;Netherlands;52.1326;5.2913;2/22/20;0;0
;Congo (Kinshasa);-4.0383;21.7587;2/10/20;0;0
;Mozambique;-18.665695;35.529562;3/1/20;0;0
;New Zealand;-40.9006;174.886;3/31/20;647;1
;Cote d'Ivoire;7.54;-5.5471;3/13/20;1;0
;Congo (Kinshasa);-4.0383;21.7587;2/22/20;0;0
;Pakistan;30.3753;69.3451;2/18/20;0;0
;Antigua and Barbuda;17.0608;-61.7964;3/14/20;1;0
Falkland Islands (Malvinas);United Kingdom;-51.7963;-59.5236;1/24/20;0;0
;MS Zaandam;0;0;2/9/20;0;0
;Western Sahara;24.2155;-12.8858;3/25/20;0;0
;Iraq;33;44;3/26/20;382;36
;West Bank and Gaza;31.9522;35.2332;2/1/20;0;0
;Qatar;25.3548;51.1839;2/24/20;0;0
;Liberia;6.4281;-9.4295;2/21/20;0;0
;Colombia;4.5709;-74.2973;3/6/20;1;0
;Burkina Faso;12.2383;-1.5616;2/23/20;0;0
;Luxembourg;49.8153;6.1296;3/2/20;1;0
;Gabon;-0.8037;11.6094;2/6/20;0;0
;Malta;35.9375;14.3754;2/1/20;0;0
;Spain;40;-4;3/24/20;39885;2808
;Bhutan;27.5142;90.4336;2/3/20;0;0
;India;21;78;2/13/20;3;0
;Laos;19.85627;102.495496;3/8/20;0;0
;Antigua and Barbuda;17.0608;-61.7964;2/9/20;0;0
;Haiti;18.9712;-72.2852;4/6/20;24;1
;Oman;21;57;3/25/20;99;0
;Jordan;31.24;36.51;3/13/20;1;0
;Mali;17.570692;-3.996166;4/3/20;39;3
;Austria;47.5162;14.5501;3/18/20;1646;4
;Sri Lanka;7;81;1/26/20;0;0
;Cameroon;3.848;11.5021;1/25/20;0;0
;Bhutan;27.5142;90.4336;4/7/20;5;0
;Malawi;-13.254308;34.301525;2/6/20;0;0
;Zimbabwe;-20;30;1/24/20;0;0
;Antigua and Barbuda;17.0608;-61.7964;4/2/20;9;0
;Qatar;25.3548;51.1839;2/12/20;0;0
;Brazil;-14.235;-51.9253;3/16/20;200;0
;Burkina Faso;12.2383;-1.5616;3/4/20;0;0
;Singapore;1.2833;103.8333;2/23/20;89;0
;Italy;43;12;3/5/20;3858;148
;Timor-Leste;-8.874217;125.727539;4/8/20;1;0
;Guatemala;15.7835;-90.2308;3/23/20;20;1
;Austria;47.5162;14.5501;1/29/20;0;0
;Kuwait;29.5;47.75;3/22/20;188;0
;Timor-Leste;-8.874217;125.727539;1/29/20;0;0
;South Sudan;6.877;31.307;2/1/20;0;0
;Mauritius;-20.2;57.5;3/29/20;107;3
;Zimbabwe;-20;30;3/13/20;0;0
;Japan;36;138;2/7/20;25;0
;Malaysia;2.5;112.5;3/19/20;900;2
;Saint Lucia;13.9094;-60.9789;3/4/20;0;0
;Senegal;14.4974;-14.4524;3/12/20;4;0
;Lebanon;33.8547;35.8623;3/17/20;120;3
;Monaco;43.7333;7.4167;4/7/20;79;1
;Austria;47.5162;14.5501;1/30/20;0;0
;Latvia;56.8796;24.6032;3/23/20;180;0
;Turkey;38.9637;35.2433;3/6/20;0;0
;Uruguay;-32.5228;-55.7658;3/7/20;0;0
;Czechia;49.8175;15.473;2/8/20;0;0
;Mauritius;-20.2;57.5;3/17/20;0;0
;Moldova;47.4116;28.3699;3/25/20;149;1
;Singapore;1.2833;103.8333;2/11/20;47;0
;United Arab Emirates;24;54;3/22/20;153;2
;Senegal;14.4974;-14.4524;3/24/20;86;0
;Suriname;3.9193;-56.0278;3/30/20;8;0
;Iran;32;53;4/8/20;64586;3993
;Gabon;-0.8037;11.6094;2/23/20;0;0
;Equatorial Guinea;1.5;10;2/1/20;0;0
;Timor-Leste;-8.874217;125.727539;1/30/20;0;0
;MS Zaandam;0;0;3/16/20;0;0
;New Zealand;-40.9006;174.886;2/3/20;0;0
;Nigeria;9.082;8.6753;3/31/20;135;2
;Panama;8.538;-80.7821;2/18/20;0;0
;Bhutan;27.5142;90.4336;3/15/20;1;0
;Burma;21.9162;95.956;1/31/20;0;0
;Malaysia;2.5;112.5;4/2/20;3116;50
;Portugal;39.3999;-8.2245;2/6/20;0;0
;Guatemala;15.7835;-90.2308;3/11/20;0;0
;Liechtenstein;47.14;9.55;3/29/20;56;0
;Mexico;23.6345;-102.5528;1/29/20;0;0
;Singapore;1.2833;103.8333;3/6/20;130;0
;Diamond Princess;0;0;3/13/20;706;7
;Zimbabwe;-20;30;3/25/20;3;1
;Indonesia;-0.7893;113.9213;1/24/20;0;0
;Western Sahara;24.2155;-12.8858;3/13/20;0;0
;Bahrain;26.0275;50.55;1/23/20;0;0
;Mexico;23.6345;-102.5528;1/30/20;0;0
;Ethiopia;9.145;40.4897;3/7/20;0;0
;Latvia;56.8796;24.6032;3/11/20;10;0
;Lebanon;33.8547;35.8623;3/29/20;438;10
;Moldova;47.4116;28.3699;3/13/20;6;0
;Mauritius;-20.2;57.5;3/30/20;128;3
;Sudan;12.8628;30.2176;2/28/20;0;0
;Lebanon;33.8547;35.8623;3/30/20;446;11
;Venezuela;6.4238;-66.5897;4/1/20;143;3
;Burma;21.9162;95.956;3/2/20;0;0
;Croatia;45.1;15.2;1/25/20;0;0
;Dominican Republic;18.7357;-70.1627;3/28/20;719;28
;Thailand;15;101;2/6/20;25;0
;Gabon;-0.8037;11.6094;2/11/20;0;0
;Oman;21;57;1/24/20;0;0
;Benin;9.3077;2.3158;3/26/20;6;0
;Sweden;63;16;4/3/20;6131;358
;Congo (Brazzaville);-4.0383;21.7587;3/9/20;0;0
;South Africa;-30.5595;22.9375;3/28/20;1187;1
;Liechtenstein;47.14;9.55;3/17/20;7;0
;India;21;78;2/25/20;3;0
;Sudan;12.8628;30.2176;4/1/20;7;2
;Suriname;3.9193;-56.0278;3/17/20;1;0
;Denmark;56.2639;9.5018;4/7/20;5071;0
;Syria;34.802075;38.996815;2/20/20;0;0
;Peru;-9.19;-75.0152;3/2/20;0;0
;Montenegro;42.5;19.3;2/1/20;0;0
;Iraq;33;44;1/25/20;0;0
;Finland;64;26;3/23/20;700;1
;Argentina;-38.4161;-63.6167;2/20/20;0;0
;Pakistan;30.3753;69.3451;2/1/20;0;0
;El Salvador;13.7942;-88.8965;3/21/20;3;0
;Somalia;5.1521;46.1996;4/3/20;7;0
;Belarus;53.7098;27.9534;2/17/20;0;0
;Somalia;5.1521;46.1996;2/15/20;0;0
;Antigua and Barbuda;17.0608;-61.7964;3/26/20;7;0
;Finland;64;26;3/11/20;59;0
;Equatorial Guinea;1.5;10;2/17/20;0;0
;Denmark;56.2639;9.5018;1/27/20;0;0
;Nepal;28.1667;84.25;4/8/20;9;0
;Western Sahara;24.2155;-12.8858;1/24/20;0;0
;Dominican Republic;18.7357;-70.1627;3/16/20;11;0
;Fiji;-17.7134;178.065;3/4/20;0;0
;Taiwan*;23.7;121;3/11/20;48;1
;Argentina;-38.4161;-63.6167;2/19/20;0;0
;Venezuela;6.4238;-66.5897;2/21/20;0;0
;South Africa;-30.5595;22.9375;3/16/20;62;0
;Taiwan*;23.7;121;3/23/20;195;2
;Romania;45.9432;24.9668;1/28/20;0;0
;MS Zaandam;0;0;3/28/20;2;0
;Uganda;1;32;1/25/20;0;0
;Belarus;53.7098;27.9534;2/29/20;1;0
;Czechia;49.8175;15.473;2/13/20;0;0
;Djibouti;11.8251;42.5903;3/26/20;11;0
;Finland;64;26;4/5/20;1927;28
;Suriname;3.9193;-56.0278;3/29/20;8;0
;Indonesia;-0.7893;113.9213;3/13/20;69;4
;Uruguay;-32.5228;-55.7658;3/22/20;158;0
;United Arab Emirates;24;54;3/10/20;74;0
;Kuwait;29.5;47.75;3/10/20;69;0
;Mozambique;-18.665695;35.529562;2/18/20;0;0
Western Australia;Australia;-31.9505;115.8605;3/1/20;2;0
;Bhutan;27.5142;90.4336;3/27/20;3;0
;Syria;34.802075;38.996815;2/19/20;0;0
;Diamond Princess;0;0;1/24/20;0;0
;Liechtenstein;47.14;9.55;3/6/20;1;0
;Sudan;12.8628;30.2176;2/16/20;0;0
;South Sudan;6.877;31.307;1/22/20;0;0
;Botswana;-22.3285;24.6849;2/21/20;0;0
;Uzbekistan;41.3775;64.5853;3/3/20;0;0
;Grenada;12.1165;-61.679;3/13/20;0;0
;Ireland;53.1424;-7.6921;2/7/20;0;0
;Mexico;23.6345;-102.5528;4/8/20;2785;141
;Saudi Arabia;24;45;3/3/20;1;0
;Georgia;42.3154;43.3569;3/27/20;83;0
;Central African Republic;6.6111;20.9394;3/8/20;0;0
;Saint Kitts and Nevis;17.357822;-62.782998;2/3/20;0;0
;Iran;32;53;1/29/20;0;0
;Sweden;63;16;2/16/20;1;0
;Laos;19.85627;102.495496;2/15/20;0;0
;Bulgaria;42.7339;25.4858;2/14/20;0;0
;Madagascar;-18.7669;46.8691;3/16/20;0;0
;Iran;32;53;1/30/20;0;0
;Madagascar;-18.7669;46.8691;3/28/20;26;0
;Guatemala;15.7835;-90.2308;1/22/20;0;0
;Mexico;23.6345;-102.5528;3/18/20;93;0
;Guinea;9.9456;-9.6966;2/28/20;0;0
;Chad;15.4542;18.7322;3/7/20;0;0
;Russia;60;90;4/4/20;4731;43
;Rwanda;-1.9403;29.8739;3/28/20;60;0
;Seychelles;-4.6796;55.492;3/10/20;0;0
;Uganda;1;32;3/14/20;0;0
;Bahrain;26.0275;50.55;3/12/20;195;0
;Trinidad and Tobago;10.6918;-61.2225;3/25/20;60;1
;Germany;51;9;1/28/20;4;0
;Latvia;56.8796;24.6032;1/22/20;0;0
;Malaysia;2.5;112.5;1/31/20;8;0
;Iceland;64.9631;-19.0208;2/13/20;0;0
;Lebanon;33.8547;35.8623;1/28/20;0;0
;Mauritius;-20.2;57.5;1/28/20;0;0
;Sri Lanka;7;81;2/6/20;1;0
;Sweden;63;16;2/28/20;7;0
;Bahrain;26.0275;50.55;4/1/20;569;4
;Andorra;42.5063;1.5218;3/7/20;1;0
;Papua New Guinea;-6.315;143.9555;2/15/20;0;0
;Laos;19.85627;102.495496;2/27/20;0;0
;Ecuador;-1.8312;-78.1834;1/25/20;0;0
;Norway;60.472;8.4689;1/26/20;0;0
;Congo (Brazzaville);-4.0383;21.7587;2/12/20;0;0
;Monaco;43.7333;7.4167;2/3/20;0;0
;Latvia;56.8796;24.6032;3/8/20;2;0
;Grenada;12.1165;-61.679;3/25/20;1;0
;Greece;39.0742;21.8243;3/9/20;73;0
;Switzerland;46.8182;8.2275;3/19/20;4075;41
;Sao Tome and Principe;0.18636;6.613081;1/22/20;0;0
;Niger;17.6078;8.0817;3/16/20;0;0
;Dominica;15.415;-61.371;1/26/20;0;0
;Egypt;26;30;3/27/20;536;30
;Zambia;-15.4167;28.2833;1/27/20;0;0
;Bhutan;27.5142;90.4336;1/26/20;0;0
;Uganda;1;32;3/26/20;14;0
;Belize;13.1939;-59.5432;4/4/20;4;0
;Guatemala;15.7835;-90.2308;2/3/20;0;0
;Moldova;47.4116;28.3699;2/7/20;0;0
;Trinidad and Tobago;10.6918;-61.2225;3/13/20;0;0
;Iceland;64.9631;-19.0208;2/25/20;0;0
;Switzerland;46.8182;8.2275;3/20/20;5294;54
;Uzbekistan;41.3775;64.5853;3/17/20;10;0
;Ghana;7.9465;-1.0232;3/2/20;0;0
;Georgia;42.3154;43.3569;3/15/20;33;0
;Timor-Leste;-8.874217;125.727539;3/18/20;0;0
;Afghanistan;33;65;2/3/20;0;0
;Georgia;42.3154;43.3569;3/6/20;4;0
;"Korea; South";36;1/23/20;1;0
;Croatia;45.1;15.2;4/1/20;963;6
;Nicaragua;12.8654;-85.2072;2/19/20;0;0
;Equatorial Guinea;1.5;10;2/29/20;0;0
;Guinea;9.9456;-9.6966;4/4/20;111;0
;Eritrea;15.1794;39.7823;3/25/20;4;0
;Japan;36;138;3/28/20;1693;52
;Equatorial Guinea;1.5;10;4/5/20;16;0
;Papua New Guinea;-6.315;143.9555;2/27/20;0;0
;Nicaragua;12.8654;-85.2072;2/20/20;0;0
;Andorra;42.5063;1.5218;2/23/20;0;0
;Angola;-11.2027;17.8739;2/25/20;0;0
;Bangladesh;23.685;90.3563;2/6/20;0;0
;Cameroon;3.848;11.5021;4/5/20;650;9
;Madagascar;-18.7669;46.8691;3/6/20;0;0
;Qatar;25.3548;51.1839;4/7/20;2057;6
;Bosnia and Herzegovina;43.9159;17.6791;2/15/20;0;0
;Jordan;31.24;36.51;1/24/20;0;0
;Haiti;18.9712;-72.2852;2/2/20;0;0
;Cambodia;11.55;104.9167;3/22/20;84;0
;Colombia;4.5709;-74.2973;1/30/20;0;0
;Sierra Leone;8.460555;-11.779889;2/10/20;0;0
;Timor-Leste;-8.874217;125.727539;3/31/20;1;0
;Bosnia and Herzegovina;43.9159;17.6791;2/27/20;0;0
;Italy;43;12;2/20/20;3;0
;Mongolia;46.8625;103.8467;3/3/20;0;0
;Bulgaria;42.7339;25.4858;2/26/20;0;0
;Congo (Kinshasa);-4.0383;21.7587;2/8/20;0;0
;Ecuador;-1.8312;-78.1834;3/5/20;13;0
;Colombia;4.5709;-74.2973;1/29/20;0;0
;Sierra Leone;8.460555;-11.779889;2/7/20;0;0
;Angola;-11.2027;17.8739;2/6/20;0;0
;Cambodia;11.55;104.9167;3/10/20;2;0
;Egypt;26;30;2/1/20;0;0
;Algeria;28.0339;1.6596;3/3/20;5;0
;Cabo Verde;16.5388;-23.0418;1/23/20;0;0
;Slovakia;48.669;19.699;2/15/20;0;0
;Bahrain;26.0275;50.55;3/24/20;392;3
;Lebanon;33.8547;35.8623;4/4/20;520;17
;Benin;9.3077;2.3158;1/25/20;0;0
Saint Pierre and Miquelon;France;46.8852;-56.3159;1/27/20;0;0
;Czechia;49.8175;15.473;4/1/20;3508;39
;Maldives;3.2028;73.2207;1/27/20;0;0
;Egypt;26;30;3/15/20;110;2
;Liberia;6.4281;-9.4295;4/2/20;6;0
